COUNTY_ID,COUNTY,TOWN_ID,TOWN,M_F_RAT,P_H_CNT,P_DEN,DEPENDENCY_RAT,A0A14_A15A65_RAT,A65UP_A15A64_RAT,A65_A0A14_RAT,INFO_TIME
縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,性比例,戶量,人口密度,扶養比,扶幼比,扶老比,老化指數,資料時間
"64000","高雄市","64000250","湖內區",102.6900000000000000,2.51,1458.03,39.71,13.14,26.58,202.32,"113Y12M"
"64000","高雄市","64000260","茄萣區",104.0700000000000000,2.69,1837.22,42.37,12.73,29.64,232.87,"113Y12M"
"64000","高雄市","64000270","永安區",98.4400000000000000,2.36,611.26,38.42,13.28,25.15,189.37,"113Y12M"
"64000","高雄市","64000280","彌陀區",103.0900000000000000,2.61,1222.76,41.05,12.79,28.26,220.87,"113Y12M"
"64000","高雄市","64000290","梓官區",104.6900000000000000,2.56,3000.16,39.42,12.02,27.40,227.93,"113Y12M"
"64000","高雄市","64000300","旗山區",104.5100000000000000,2.42,357.44,52.99,13.72,39.27,286.19,"113Y12M"
"64000","高雄市","64000310","美濃區",111.1600000000000000,2.35,304.46,58.97,10.81,48.17,445.77,"113Y12M"
"64000","高雄市","64000320","六龜區",116.0900000000000000,2.14,59.29,51.06,10.42,40.64,390.05,"113Y12M"
"64000","高雄市","64000330","甲仙區",111.0800000000000000,2.37,43.63,51.51,10.22,41.29,404.11,"113Y12M"
"64000","高雄市","64000340","杉林區",120.6300000000000000,2.25,103.02,52.56,10.07,42.49,422.07,"113Y12M"
"64000","高雄市","64000350","內門區",116.9400000000000000,2.50,134.83,48.55,8.81,39.74,450.85,"113Y12M"
"64000","高雄市","64000360","茂林區",96.3200000000000000,2.97,9.63,32.55,17.38,15.18,87.35,"113Y12M"
"64000","高雄市","64000370","桃源區",107.9400000000000000,2.98,4.51,34.51,19.17,15.35,80.07,"113Y12M"
"64000","高雄市","64000380","那瑪夏區",104.5700000000000000,3.50,12.38,39.82,24.60,15.22,61.89,"113Y12M"
"10002","宜蘭縣","10002010","宜蘭市",94.0000000000000000,2.41,3226.67,47.22,19.51,27.71,142.06,"113Y12M"
"10002","宜蘭縣","10002020","羅東鎮",89.0500000000000000,2.52,6138.32,53.31,22.95,30.37,132.33,"113Y12M"
"10002","宜蘭縣","10002030","蘇澳鎮",102.5900000000000000,2.50,414.31,47.93,13.45,34.48,256.29,"113Y12M"
"10002","宜蘭縣","10002040","頭城鎮",105.0900000000000000,2.56,277.34,43.93,14.18,29.75,209.79,"113Y12M"
"10002","宜蘭縣","10002050","礁溪鄉",106.1000000000000000,2.23,349.01,42.64,12.80,29.84,233.08,"113Y12M"
"10002","宜蘭縣","10002060","壯圍鄉",108.9800000000000000,2.48,635.94,39.65,11.72,27.92,238.22,"113Y12M"
"10002","宜蘭縣","10002070","員山鄉",110.7000000000000000,2.48,285.82,38.97,11.67,27.30,233.95,"113Y12M"
"10002","宜蘭縣","10002080","冬山鄉",101.8100000000000000,2.50,665.15,44.09,15.25,28.85,189.22,"113Y12M"
"10002","宜蘭縣","10002090","五結鄉",102.2400000000000000,2.39,1070.31,39.93,13.01,26.92,206.98,"113Y12M"
"10002","宜蘭縣","10002100","三星鄉",117.0400000000000000,2.22,146.85,42.65,10.62,32.03,301.52,"113Y12M"
"10002","宜蘭縣","10002110","大同鄉",116.2000000000000000,2.93,9.09,39.82,20.88,18.94,90.71,"113Y12M"
"10002","宜蘭縣","10002120","南澳鄉",102.7300000000000000,2.85,8.22,44.45,25.55,18.90,74.00,"113Y12M"
